,#,Model,GR#,GROUP_NAME,GDT_TS,NP_P,RANK,Z-M1-GDT,Z-MA-GDT,GDT_HA,GDC_SC,GDC_ALL,RMS_CA,RMS_ALL,NP,err,AL0_P,AL4_P,ALI_P,LGA_S,RMSD[L],Z-score[M],Z-Score[D],Al.Res.,RMSD[D],MolPrb_Score,LDDT,SphGr,CAD_AA,RPF,CODM,DFM,Handed.,SOV,CE,QCS,CONTS,TMscore,Dali(raw),FlexE,QSE,CAD_SS,MP_clash,MP_rotout,MP_ramout,MP_ramfv,reLLG_lddt,reLLG_const,Target
68,69,T1175TS353_1,353s,hFold,86.17,100.0,68,0.0,0.08,70.93,51.7,64.29,2.167,2.621,264,0,93.18,95.08,95.08,91.918,1.35,11.45,36.1,264,2.2,1.9,0.83,94.51,0.78,0.86,0.99,0.07,0.95,93.2,7.02,96.72,93.19,0.94,3414.2,3.79,87.88,0.67,1.77,4.35,2.58,92.26,6.83,5.5,T1175
69,70,T1175TS462_1,462s,MultiFOLD,86.08,100.0,70,-0.0,0.07,70.83,53.9,65.04,2.126,2.609,264,0,89.77,92.42,92.42,90.701,1.3,11.17,31.9,260,1.9,1.37,0.77,89.77,0.74,0.8,0.97,0.17,0.96,91.1,7.02,91.71,87.13,0.93,3076.6,8.16,80.62,0.62,1.77,0.0,1.29,93.23,9.34,8.36,T1175
70,71,T1175TS098_1,098s,GuijunLab-Assembly,85.7,100.0,71,-0.03,0.05,70.45,50.74,63.5,2.199,2.756,264,0,92.8,95.45,95.45,91.622,1.31,11.74,36.0,262,1.8,1.31,0.83,94.32,0.77,0.85,0.99,0.08,0.95,91.6,7.02,96.73,93.25,0.94,3419.5,6.26,89.48,0.65,1.38,1.0,2.9,93.23,6.18,4.69,T1175
71,72,T1175TS165_1,165,FTBiot0119,84.94,100.0,72,-0.08,0.01,69.31,44.69,61.4,2.38,3.001,264,0,92.8,95.45,95.45,90.773,1.3,11.51,34.9,261,1.9,2.28,0.8,92.05,0.74,0.84,0.99,0.07,0.95,85.3,6.47,96.26,92.73,0.93,3373.8,5.79,56.74,0.61,34.78,1.34,0.65,97.1,0.13,4.55,T1175
72,73,T1175TS398_1,398,ChaePred,84.19,100.0,73,-0.13,-0.03,68.65,49.23,62.33,2.405,2.973,264,0,92.8,95.08,95.08,90.399,1.34,11.45,35.7,261,2.0,1.08,0.82,92.05,0.76,0.84,0.99,0.07,0.95,85.8,6.58,96.25,92.75,0.93,3378.6,5.56,90.18,0.65,1.97,0.0,0.32,97.42,6.65,5.22,T1175
73,74,T1175TS354_1,354,hks1988,84.19,100.0,73,-0.13,-0.03,68.65,49.23,62.33,2.405,2.973,264,0,92.8,95.08,95.08,90.399,1.34,11.45,35.7,261,2.0,1.08,0.82,92.05,0.76,0.84,0.99,0.07,0.95,85.8,6.58,96.25,92.75,0.93,3378.6,5.56,90.18,0.65,1.97,0.0,0.32,97.42,6.65,5.22,T1175
74,75,T1175TS455_1,455,Seder2022easy,84.19,100.0,73,-0.13,-0.03,68.65,49.23,62.33,2.405,2.973,264,0,92.8,95.08,95.08,90.399,1.34,11.45,35.7,261,2.0,1.08,0.82,92.05,0.76,0.84,0.99,0.07,0.95,85.8,6.58,96.25,92.75,0.93,3378.6,5.56,42.82,0.65,1.97,0.0,0.32,97.42,0.03,5.22,T1175
75,76,T1175TS216_1,216,Seder2022hard,84.19,100.0,73,-0.13,-0.03,68.65,49.23,62.33,2.405,2.973,264,0,92.8,95.08,95.08,90.399,1.34,11.45,35.7,261,2.0,1.08,0.82,92.05,0.76,0.84,0.99,0.07,0.95,85.8,6.58,96.25,92.75,0.93,3378.6,5.56,42.82,0.65,1.97,0.0,0.32,97.42,0.03,5.22,T1175
76,77,T1175TS269_1,269,AP_1,84.19,100.0,73,-0.13,-0.03,68.65,49.23,62.33,2.405,2.973,264,0,92.8,95.08,95.08,90.399,1.34,11.45,35.7,261,2.0,1.08,0.82,92.05,0.76,0.84,0.99,0.07,0.95,85.8,6.58,96.25,92.75,0.93,3378.6,5.56,90.18,0.65,1.97,0.0,0.32,97.42,6.65,5.22,T1175
77,78,T1175TS362_1,362,MESHI,84.19,100.0,73,-0.13,-0.03,64.11,34.7,57.17,1.92,2.687,264,0,93.18,95.83,95.83,91.403,1.35,11.63,33.2,264,1.9,4.26,0.72,90.91,0.66,0.79,0.99,0.09,0.95,85.2,6.7,94.11,88.21,0.94,3222.2,3.75,78.85,0.49,67.99,35.79,9.68,76.77,2.16,1.83,T1175
78,79,T1175TS234_1,234,Panlab,83.62,100.0,79,-0.16,-0.07,66.95,39.13,56.81,2.451,3.24,264,1,91.67,95.08,95.08,90.291,1.37,11.51,35.2,261,1.8,2.44,0.75,91.48,0.69,0.81,0.99,0.09,0.95,74.8,6.58,95.77,91.78,0.93,3333.9,8.24,73.69,0.55,2.75,10.03,4.19,87.1,0.47,1.42,T1175
79,80,T1175TS073_1,073s,DFolding-refine,82.39,100.0,80,-0.25,-0.14,62.88,43.06,56.56,2.846,3.327,264,0,89.39,92.8,93.18,88.902,1.45,11.17,32.0,260,2.1,2.85,0.75,91.67,0.7,0.81,0.97,0.11,0.95,96.6,5.99,94.09,87.91,0.92,3080.5,5.87,80.46,0.58,14.74,5.69,1.29,87.74,0.43,0.35,T1175
80,81,T1175TS147_1,147,SHT,81.16,100.0,81,-0.33,-0.21,62.59,42.4,56.95,2.336,2.97,264,0,87.88,93.18,93.18,87.658,1.54,11.28,29.0,260,2.1,1.83,0.73,87.12,0.69,0.8,0.97,0.2,0.95,88.3,6.23,90.22,85.33,0.92,2900.3,8.82,84.27,0.56,3.34,1.34,0.97,87.42,3.41,2.17,T1175
81,82,T1175TS447_1,447,DELCLAB,80.49,100.0,82,-0.37,-0.25,63.64,40.85,56.44,3.041,3.768,264,0,88.26,92.05,92.05,86.227,1.42,10.94,28.8,251,2.0,2.13,0.7,81.06,0.66,0.74,0.95,0.26,0.93,69.6,6.92,87.24,83.21,0.9,2814.0,12.25,52.03,0.5,0.98,8.03,4.19,85.48,0.02,2.33,T1175
82,83,T1175TS257_1,257,WL_team,70.64,100.0,83,-1.02,-0.82,51.23,31.49,42.56,4.03,4.542,264,0,81.06,87.12,87.5,77.683,1.9,10.25,29.9,255,2.6,1.55,0.7,91.48,0.7,0.78,0.98,0.11,0.92,92.0,6.81,92.92,86.49,0.85,2841.3,9.33,76.97,0.55,0.59,3.01,1.61,91.94,0.33,0.26,T1175
83,84,T1175TS478_1,478,Agemo,57.67,100.0,84,-1.88,-1.57,39.2,18.57,26.86,5.375,6.132,264,0,51.14,66.67,68.94,57.365,2.17,8.01,18.4,238,3.4,2.18,0.55,62.31,0.57,0.6,0.91,0.37,0.86,76.0,5.46,82.36,67.42,0.71,1906.8,16.8,89.36,0.39,4.32,2.68,4.19,85.81,1.23,0.02,T1175
84,85,T1175TS368_1,368s,FALCON2,55.87,100.0,85,-2.0,-1.67,35.89,0.0,21.98,6.669,6.719,264,21,59.09,76.14,82.58,60.482,2.18,9.1,19.7,239,3.1,,0.2,47.68,0.48,0.23,0.74,0.49,0.79,57.4,5.73,73.1,64.56,0.74,2035.9,62.93,,0.2,230.8,,32.9,50.32,0.0,0.12,T1175
85,86,T1175TS333_1,333s,FALCON0,55.87,100.0,85,-2.0,-1.67,35.89,0.0,21.98,6.669,6.719,264,21,59.09,76.14,82.58,60.482,2.18,9.1,19.7,239,3.1,,0.2,47.68,0.48,0.23,0.74,0.49,0.79,57.4,5.73,73.1,64.56,0.74,2035.9,62.93,,0.2,230.8,,32.9,50.32,0.0,0.12,T1175
86,87,T1175TS315_1,315s,Cerebra,50.0,100.0,87,-2.39,-2.01,29.93,13.64,22.54,6.501,7.363,264,4,46.21,68.18,75.38,50.718,2.33,8.01,16.0,236,3.2,3.57,0.45,43.56,0.46,0.47,0.7,0.64,0.78,50.9,6.23,68.0,56.03,0.71,938.6,38.78,49.65,0.24,14.54,18.39,19.03,56.45,0.05,0.05,T1175
87,88,T1175TS052_1,052,Gonglab-THU,50.0,100.0,87,-2.39,-2.01,29.93,13.64,22.54,6.501,7.363,264,4,46.21,68.18,75.38,50.718,2.33,8.01,16.0,236,3.2,3.57,0.45,43.56,0.46,0.47,0.7,0.64,0.78,50.9,6.23,68.0,56.03,0.71,938.6,38.78,49.65,0.24,14.54,18.39,19.03,56.45,0.05,0.05,T1175
88,89,T1175TS140_1,140,EMBER3D,43.18,100.0,89,-2.84,-2.4,25.38,14.54,17.67,7.6,8.233,264,0,31.06,60.23,70.08,45.695,2.33,7.49,17.4,240,4.1,1.69,0.49,51.33,0.53,0.54,0.76,0.5,0.72,65.5,6.11,67.56,63.0,0.61,1728.0,34.11,89.45,0.34,3.54,0.0,1.94,90.0,0.06,0.01,T1175
89,90,T1175TS280_1,280s,ACOMPMOD,18.37,100.0,90,-4.49,-3.84,7.48,3.13,4.63,13.953,14.841,264,1,0.0,0.0,42.42,26.255,2.4,1.46,5.1,137,3.7,3.61,0.24,6.06,0.34,0.13,0.33,1.61,0.6,34.2,3.29,30.26,26.35,0.34,488.7,157.84,67.88,0.06,114.17,3.68,3.55,84.84,0.0,0.0,T1175
90,91,T1175TS212_1,212s,BhageerathH-Pro,7.67,100.0,91,-5.19,-4.46,4.54,0.83,1.98,20.641,21.124,264,0,0.0,0.0,17.8,11.579,2.7,-1.01,0.0,0,,2.64,0.19,2.65,0.32,0.03,0.06,2.06,0.5,39.8,1.24,23.21,21.13,0.14,,440.51,39.49,0.05,15.72,3.01,1.29,89.03,0.0,0.0,T1175
0,1,T1150TS097_1,097,Graphen_Medical,98.21,100.0,1,0.57,0.55,89.83,70.59,85.38,0.674,1.286,349,0,98.85,100.0,100.0,99.247,0.67,13.62,57.0,349,0.7,1.12,0.9,99.0,0.83,0.9,1.0,0.02,0.98,98.0,8.03,98.59,96.77,0.99,6110.1,0.36,93.84,0.73,1.86,0.99,0.0,97.01,33.75,32.27,T1150
1,2,T1150TS461_1,461,colabfold_human,97.92,100.0,2,0.56,0.53,89.18,71.47,85.47,0.691,1.298,349,0,98.57,100.0,100.0,99.115,0.69,13.62,56.8,349,0.7,1.15,0.9,98.28,0.84,0.9,1.0,0.03,0.98,98.0,8.03,98.83,97.0,0.99,6090.5,0.33,93.91,0.74,1.52,0.66,0.54,96.2,24.46,23.36,T1150
2,3,T1150TS446_1,446s,ColabFold,97.92,100.0,2,0.56,0.53,89.18,71.47,85.47,0.691,1.298,349,0,98.57,100.0,100.0,99.115,0.69,13.62,56.8,349,0.7,1.15,0.9,98.28,0.84,0.9,1.0,0.03,0.98,98.0,8.03,98.83,97.0,0.99,6090.5,0.33,93.91,0.74,1.52,0.66,0.54,96.2,24.46,23.36,T1150
3,4,T1150TS439_1,439,Yang,97.85,100.0,4,0.55,0.53,88.39,71.03,83.41,0.725,1.19,349,0,97.99,100.0,100.0,99.034,0.73,13.62,56.6,349,0.7,1.24,0.86,97.45,0.82,0.85,1.0,0.03,0.98,97.8,8.03,98.76,96.82,0.99,6067.3,0.34,89.53,0.71,3.18,0.66,0.27,97.28,28.08,24.57,T1150
4,5,T1150TS462_1,462s,MultiFOLD,97.56,100.0,5,0.54,0.51,89.61,70.02,85.55,0.709,1.202,349,0,98.57,99.71,99.71,98.944,0.71,13.57,56.7,349,0.7,1.11,0.9,98.71,0.84,0.9,1.0,0.03,0.98,98.0,8.03,98.78,96.89,0.99,6082.0,0.33,91.29,0.74,1.19,0.0,0.27,95.92,25.55,25.33,T1150
5,6,T1150TS180_1,180,McGuffin,97.56,100.0,5,0.54,0.51,89.61,70.02,85.55,0.709,1.202,349,0,98.57,99.71,99.71,98.944,0.71,13.57,56.7,349,0.7,1.11,0.9,98.71,0.84,0.9,1.0,0.03,0.98,98.0,8.03,98.78,96.89,0.99,6082.0,0.33,91.29,0.74,1.19,0.0,0.27,95.92,25.55,25.33,T1150
6,7,T1150TS320_1,320,Elofsson,97.21,100.0,7,0.52,0.5,89.04,69.52,84.86,0.735,1.273,349,0,98.57,99.71,99.71,98.829,0.73,13.57,56.3,349,0.7,1.39,0.89,98.14,0.83,0.89,1.0,0.03,0.98,95.9,8.03,98.7,96.49,0.99,6039.5,0.37,94.37,0.72,2.37,1.32,0.27,95.92,27.91,25.07,T1150
7,8,T1150TS390_1,390s,NBIS-af2-multimer,97.21,100.0,7,0.52,0.5,89.04,69.52,84.86,0.735,1.273,349,0,98.57,99.71,99.71,98.829,0.73,13.57,56.3,349,0.7,1.39,0.89,98.14,0.83,0.89,1.0,0.03,0.98,95.9,8.03,98.7,96.49,0.99,6039.5,0.37,94.41,0.72,2.37,1.32,0.27,95.92,27.92,25.07,T1150
8,9,T1150TS455_1,455,Seder2022easy,97.21,100.0,7,0.52,0.5,89.04,69.52,84.86,0.735,1.273,349,0,98.57,99.71,99.71,98.829,0.73,13.57,56.3,349,0.7,1.39,0.89,98.14,0.83,0.89,1.0,0.03,0.98,95.9,8.03,98.7,96.49,0.99,6039.5,0.37,28.35,0.72,2.37,1.32,0.27,95.92,0.09,25.07,T1150
9,10,T1150TS131_1,131s,Kiharalab_Server,97.21,100.0,7,0.52,0.5,88.25,70.15,84.58,0.723,1.24,349,0,98.57,100.0,100.0,98.871,0.72,13.62,56.6,349,0.7,1.3,0.9,98.71,0.84,0.9,1.0,0.03,0.98,96.2,8.03,98.83,96.56,0.99,6066.3,0.35,94.67,0.74,1.86,1.32,0.0,96.2,29.01,26.44,T1150
10,11,T1150TS298_1,298s,MUFold,97.06,100.0,11,0.51,0.49,88.83,70.0,84.86,0.739,1.266,349,0,98.28,99.71,99.71,98.747,0.74,13.62,56.4,349,0.7,1.34,0.9,98.42,0.83,0.9,1.0,0.03,0.98,95.9,8.03,98.64,96.28,0.99,6050.5,0.43,95.08,0.73,2.54,0.33,0.0,95.65,28.84,25.24,T1150
11,12,T1150TS360_1,360,MUFold_H,96.56,100.0,12,0.48,0.46,87.82,68.55,83.67,0.79,1.311,349,0,98.28,99.43,99.43,98.531,0.79,13.57,56.0,349,0.8,1.8,0.89,97.99,0.83,0.89,1.0,0.03,0.98,98.0,8.03,98.54,95.97,0.99,6006.1,0.46,94.68,0.72,3.73,2.64,0.82,95.38,31.0,26.97,T1150
12,13,T1150TS494_1,494,Venclovas,96.28,100.0,13,0.47,0.45,87.11,68.27,82.99,0.85,1.327,349,0,97.99,99.43,99.43,98.282,0.85,13.57,55.4,348,0.8,0.7,0.88,98.14,0.83,0.88,1.0,0.04,0.98,95.9,8.03,98.33,95.51,0.99,5943.9,0.5,80.72,0.73,0.0,0.99,0.0,96.74,22.07,30.22,T1150
13,14,T1150TS225_1,225,ShanghaiTech,96.28,100.0,13,0.47,0.45,86.46,67.93,83.2,0.796,1.334,349,0,97.99,99.71,99.71,98.424,0.8,13.57,56.0,349,0.8,1.43,0.89,98.57,0.83,0.9,1.0,0.03,0.98,96.6,8.03,98.49,96.08,0.99,6009.6,0.48,92.74,0.72,3.22,0.33,0.0,95.38,20.32,19.67,T1150
14,15,T1150TS427_1,427s,MESHI_server,96.06,100.0,15,0.46,0.44,82.23,40.81,72.17,0.838,1.959,349,1,98.28,99.71,99.71,98.389,0.84,13.57,53.6,349,0.8,4.05,0.75,93.55,0.69,0.79,1.0,0.05,0.98,94.1,8.03,97.41,92.97,0.99,5757.9,0.67,82.17,0.48,53.37,36.3,5.16,84.78,8.4,7.73,T1150
15,16,T1150TS086_1,086s,MULTICOM_qa,95.56,100.0,16,0.43,0.42,84.81,67.29,81.53,0.889,1.399,349,0,97.71,99.71,99.71,97.979,0.89,13.62,55.5,349,0.9,1.03,0.89,98.71,0.83,0.89,1.0,0.03,0.98,98.3,8.03,98.47,95.97,0.98,5957.1,0.35,92.69,0.73,1.52,0.0,0.0,97.28,20.3,18.56,T1150
16,17,T1150TS441_1,441,OpenFold,95.49,100.0,17,0.42,0.41,84.17,65.13,80.94,0.869,1.38,349,0,97.99,99.71,99.71,98.156,0.87,13.57,55.4,349,0.9,1.2,0.88,98.42,0.83,0.89,1.0,0.03,0.98,98.1,8.03,98.34,95.79,0.99,5943.2,0.44,92.74,0.72,1.69,0.66,0.54,95.92,17.07,15.64,T1150
17,18,T1150TS208_1,208,B11L,95.49,100.0,17,0.42,0.41,84.03,65.02,80.27,0.904,1.469,349,0,97.71,99.71,99.71,97.989,0.9,13.62,55.4,349,0.9,0.88,0.88,98.42,0.82,0.89,1.0,0.03,0.98,99.0,8.03,98.22,95.77,0.98,5940.6,0.42,91.94,0.72,0.51,0.33,0.0,96.74,17.07,15.98,T1150
18,19,T1150TS433_1,433,OpenFold-SingleSeq,95.49,100.0,17,0.42,0.41,84.17,65.13,80.94,0.869,1.38,349,0,97.99,99.71,99.71,98.156,0.87,13.57,55.4,349,0.9,1.2,0.88,98.42,0.83,0.89,1.0,0.03,0.98,98.1,8.03,98.34,95.79,0.99,5943.2,0.44,92.74,0.72,1.69,0.66,0.54,95.92,17.07,15.64,T1150
19,20,T1150TS278_1,278,PEZYFoldings,95.27,100.0,20,0.41,0.4,83.52,64.64,79.48,1.1,1.655,349,0,97.42,98.28,98.28,97.44,0.86,13.48,54.4,348,1.0,1.5,0.87,99.0,0.81,0.88,1.0,0.04,0.98,96.7,7.93,98.33,95.73,0.98,5840.1,0.41,91.28,0.69,3.39,2.31,0.54,97.55,15.1,14.76,T1150
20,21,T1150TS477_1,477,DMP,95.13,100.0,21,0.4,0.39,84.17,65.18,80.75,0.932,1.401,349,0,96.28,99.71,99.71,97.895,0.93,13.57,55.0,349,0.9,2.25,0.86,98.42,0.82,0.89,1.0,0.03,0.98,96.9,8.03,98.36,95.8,0.98,5903.2,0.45,92.0,0.71,28.84,0.33,1.63,95.65,19.13,17.11,T1150
21,22,T1150TS091_1,091,UNRES,95.13,100.0,21,0.4,0.39,79.58,52.09,73.77,0.889,1.798,349,0,98.28,100.0,100.0,97.983,0.89,13.62,53.0,349,0.9,0.89,0.79,94.99,0.75,0.81,1.0,0.05,0.98,96.0,8.03,97.63,93.58,0.98,5700.2,0.67,88.13,0.58,0.0,1.32,0.54,95.65,13.23,11.3,T1150
22,23,T1150TS089_1,089s,GuijunLab-RocketX,95.06,100.0,23,0.4,0.39,84.45,65.85,80.61,0.932,1.416,349,0,97.13,99.43,99.43,97.71,0.93,13.57,55.2,349,0.9,1.2,0.88,98.14,0.83,0.89,1.0,0.03,0.98,94.6,8.03,98.39,95.78,0.98,5922.0,0.48,94.44,0.73,2.03,0.33,0.54,96.47,16.19,16.28,T1150
23,24,T1150TS074_1,074,DFolding,95.06,100.0,23,0.4,0.39,83.59,65.21,79.77,0.953,1.504,349,0,96.85,99.43,99.43,97.688,0.95,13.57,55.1,349,1.0,0.68,0.88,97.28,0.83,0.88,1.0,0.03,0.98,96.6,8.03,98.38,95.67,0.98,5911.0,0.48,92.72,0.72,0.51,0.0,0.27,98.64,16.87,15.34,T1150
24,25,T1150TS282_1,282s,GuijunLab-Threader,95.06,100.0,23,0.4,0.39,84.45,65.85,80.61,0.932,1.416,349,0,97.13,99.43,99.43,97.71,0.93,13.57,55.2,349,0.9,1.2,0.88,98.14,0.83,0.89,1.0,0.03,0.98,94.6,8.03,98.39,95.78,0.98,5922.0,0.48,93.79,0.73,2.03,0.33,0.54,96.47,17.84,16.28,T1150
25,26,T1150TS119_1,119,Kiharalab,94.77,100.0,26,0.38,0.38,83.67,64.74,80.12,0.955,1.443,349,0,97.13,99.71,99.71,97.626,0.92,13.57,55.1,349,1.0,1.12,0.88,98.14,0.83,0.89,1.0,0.03,0.98,94.9,8.03,98.39,95.77,0.98,5913.8,0.47,92.41,0.72,1.36,0.0,0.27,96.2,15.75,14.38,T1150
26,27,T1150TS270_1,270s,NBIS-af2-standard,94.77,100.0,26,0.38,0.38,83.67,64.74,80.13,0.955,1.443,349,0,97.13,99.71,99.71,97.626,0.92,13.57,55.1,349,1.0,1.12,0.88,98.14,0.83,0.89,1.0,0.03,0.98,94.9,8.03,98.39,95.77,0.98,5913.4,0.47,92.45,0.72,1.36,0.0,0.27,96.2,15.74,14.25,T1150
27,28,T1150TS169_1,169,GuijunLab-Human,94.7,100.0,28,0.38,0.37,83.52,64.36,79.56,0.947,1.436,349,0,97.13,99.71,99.71,97.612,0.95,13.57,55.1,349,1.0,1.21,0.88,98.28,0.83,0.89,1.0,0.03,0.98,95.6,8.03,98.45,95.97,0.98,5912.1,0.41,92.75,0.72,1.36,0.99,0.27,95.11,17.35,15.8,T1150
28,29,T1150TS481_1,481s,GuijunLab-Meta,94.7,100.0,28,0.38,0.37,83.52,64.36,79.56,0.947,1.436,349,0,97.13,99.71,99.71,97.612,0.95,13.57,55.1,349,1.0,1.21,0.88,98.28,0.83,0.89,1.0,0.03,0.98,95.6,8.03,98.45,95.97,0.98,5912.1,0.41,92.75,0.72,1.36,0.99,0.27,95.11,17.35,15.8,T1150
29,30,T1150TS288_1,288s,DFolding-server,94.63,100.0,30,0.38,0.37,83.09,64.8,79.47,1.0,1.456,349,0,96.85,99.14,99.14,97.477,0.97,13.53,54.8,349,1.0,1.18,0.88,97.99,0.83,0.89,1.0,0.04,0.98,95.6,8.03,98.3,95.58,0.98,5882.3,0.49,91.73,0.71,2.03,0.0,0.0,96.74,15.78,14.63,T1150
30,31,T1150TS261_1,261s,server_122,94.56,100.0,31,0.37,0.37,82.95,64.53,79.02,0.965,1.435,349,0,97.42,99.71,99.71,97.459,0.96,13.62,55.0,349,1.0,1.24,0.88,98.71,0.83,0.89,1.0,0.03,0.98,96.9,8.03,98.29,95.65,0.98,5907.5,0.41,90.59,0.72,2.54,0.0,0.27,96.74,19.15,19.03,T1150
31,32,T1150TS187_1,187,TRFold,94.56,100.0,31,0.37,0.37,84.31,64.4,79.9,0.939,1.403,349,0,96.56,99.71,99.71,97.605,0.94,13.57,54.9,349,0.9,1.06,0.88,98.28,0.82,0.89,1.0,0.03,0.98,98.6,8.03,98.34,95.5,0.98,5893.5,0.5,93.78,0.72,2.03,0.0,0.0,97.55,20.11,18.12,T1150
32,33,T1150TS018_1,018s,server_123,94.56,100.0,31,0.37,0.37,83.02,64.68,79.01,0.964,1.435,349,0,97.42,99.71,99.71,97.479,0.96,13.62,55.1,349,1.0,1.19,0.88,98.71,0.83,0.89,1.0,0.03,0.98,97.2,8.03,98.3,95.67,0.98,5908.9,0.41,90.62,0.72,2.37,0.0,0.27,97.01,19.16,18.56,T1150
33,34,T1150TS264_1,264s,server_125,94.56,100.0,31,0.37,0.37,82.95,64.53,79.02,0.965,1.435,349,0,97.42,99.71,99.71,97.459,0.96,13.62,55.0,349,1.0,1.24,0.88,98.71,0.83,0.89,1.0,0.03,0.98,96.9,8.03,98.29,95.65,0.98,5907.5,0.41,90.59,0.72,2.54,0.0,0.27,96.74,19.15,19.03,T1150
34,35,T1150TS423_1,423,trComplex,94.56,100.0,31,0.37,0.37,84.31,64.4,79.9,0.939,1.403,349,0,96.56,99.71,99.71,97.605,0.94,13.57,54.9,349,0.9,1.06,0.88,98.28,0.82,0.89,1.0,0.03,0.98,98.6,8.03,98.34,95.5,0.98,5893.5,0.5,93.78,0.72,2.03,0.0,0.0,97.55,20.11,18.12,T1150
35,36,T1150TS403_1,403s,server_126,94.56,100.0,31,0.37,0.37,83.45,65.13,79.66,0.95,1.421,349,0,97.13,99.43,99.43,97.544,0.95,13.57,55.1,349,1.0,1.15,0.88,98.42,0.83,0.89,1.0,0.03,0.98,98.4,8.03,98.34,95.68,0.98,5909.2,0.46,89.7,0.72,1.86,0.0,0.27,96.74,15.98,15.81,T1150
36,37,T1150TS133_1,133s,ShanghaiTech-TS-SER,94.34,100.0,37,0.36,0.35,82.09,63.78,78.05,0.995,1.469,349,0,96.85,99.43,99.43,97.45,0.96,13.53,54.8,349,1.0,1.32,0.87,98.14,0.82,0.88,1.0,0.04,0.98,98.3,8.03,98.3,95.64,0.98,5877.3,0.51,91.89,0.71,2.54,0.0,0.0,95.92,13.77,13.23,T1150
37,38,T1150TS227_1,227,GinobiFold,94.34,100.0,37,0.36,0.35,82.09,63.78,78.05,0.995,1.469,349,0,96.85,99.43,99.43,97.45,0.96,13.53,54.8,349,1.0,1.32,0.87,98.14,0.82,0.88,1.0,0.04,0.98,98.3,8.03,98.3,95.64,0.98,5877.3,0.51,91.89,0.71,2.54,0.0,0.0,95.92,13.77,13.23,T1150
38,39,T1150TS354_1,354,hks1988,94.27,100.0,39,0.36,0.35,84.03,63.22,78.65,1.142,1.769,349,0,95.7,98.28,98.28,96.843,0.98,13.39,54.2,349,1.1,1.08,0.86,95.42,0.81,0.87,0.99,0.04,0.98,95.9,8.03,98.14,95.04,0.98,5823.9,0.85,92.49,0.7,2.88,0.0,0.0,98.1,17.41,15.35,T1150
39,40,T1150TS398_1,398,ChaePred,94.27,100.0,39,0.36,0.35,84.03,63.22,78.65,1.142,1.769,349,0,95.7,98.28,98.28,96.843,0.98,13.39,54.2,349,1.1,1.08,0.86,95.42,0.81,0.87,0.99,0.04,0.98,95.9,8.03,98.14,95.04,0.98,5823.9,0.85,92.49,0.7,2.88,0.0,0.0,98.1,17.41,15.35,T1150
40,41,T1150TS120_1,120s,MULTICOM_egnn,94.27,100.0,39,0.36,0.35,82.95,64.59,79.0,0.996,1.484,349,0,97.13,99.43,99.43,97.375,0.97,13.57,54.8,349,1.0,1.1,0.88,98.14,0.83,0.89,1.0,0.04,0.98,98.3,8.03,98.31,95.67,0.98,5882.1,0.47,91.68,0.72,1.36,0.66,0.0,96.47,17.66,16.12,T1150
41,42,T1150TS008_1,008,bench,94.27,100.0,39,0.36,0.35,82.38,66.2,77.85,0.987,1.365,349,0,96.56,99.71,99.71,97.358,0.95,13.57,54.9,349,1.0,1.32,0.84,97.17,0.82,0.84,1.0,0.04,0.98,96.9,8.03,98.34,95.83,0.98,5890.2,0.46,90.59,0.7,3.54,0.33,0.27,97.01,15.29,13.99,T1150
42,43,T1150TS011_1,011s,GinobiFold-SER,94.2,100.0,43,0.35,0.35,81.88,64.33,77.99,0.965,1.411,349,0,97.71,99.71,99.71,97.489,0.97,13.57,54.9,349,1.0,1.25,0.88,99.0,0.83,0.89,1.0,0.03,0.98,98.9,8.03,98.48,96.24,0.98,5897.1,0.41,92.68,0.72,2.2,0.0,0.27,96.2,12.98,13.78,T1150
43,44,T1150TS151_1,151s,IntFOLD7,94.2,100.0,43,0.35,0.35,83.67,64.85,79.3,1.307,1.869,349,0,95.13,97.42,97.42,96.779,0.96,13.29,53.7,348,1.2,1.15,0.86,95.99,0.82,0.87,0.99,0.05,0.97,93.7,7.93,98.05,94.69,0.97,5764.5,0.88,87.53,0.71,1.52,0.0,0.27,96.2,13.9,17.99,T1150
44,45,T1150TS158_1,158s,MULTICOM_deep,94.2,100.0,43,0.35,0.35,82.73,64.85,79.07,0.995,1.47,349,0,97.13,99.43,99.43,97.371,0.96,13.57,54.8,349,1.0,1.09,0.88,98.28,0.83,0.89,1.0,0.04,0.98,95.6,8.03,98.31,95.66,0.98,5878.4,0.48,91.72,0.72,1.19,0.0,0.0,96.2,15.88,14.53,T1150
45,46,T1150TS475_1,475s,MULTICOM_refine,94.2,100.0,43,0.35,0.35,82.73,64.85,79.07,0.995,1.47,349,0,97.13,99.43,99.43,97.371,0.96,13.57,54.8,349,1.0,1.09,0.88,98.28,0.83,0.89,1.0,0.04,0.98,95.6,8.03,98.31,95.66,0.98,5878.4,0.48,91.72,0.72,1.19,0.0,0.0,96.2,15.88,14.53,T1150
